FIGHTER_ID,FIRST,LAST,NICKNAME,URL
a4bf17bd3ba3423b,Yoshiro,Maeda,,http://ufcstats.com/fighter-details/a4bf17bd3ba3423b
8bbc0cfc01bc1ba1,Leonardo,Mafra,Macarrao,http://ufcstats.com/fighter-details/8bbc0cfc01bc1ba1
88a9bc81271ccd89,Vinny,Magalhaes,Pezao,http://ufcstats.com/fighter-details/88a9bc81271ccd89
1b583c64c23f0c7f,Vinicius,Magalhaes,Draculinho,http://ufcstats.com/fighter-details/1b583c64c23f0c7f
0c5c66ddd1886b83,Caio,Magalhaes,Hellboy,http://ufcstats.com/fighter-details/0c5c66ddd1886b83
7a613f78dd7ee8f8,Bernardo,Magalhaes,Trekko,http://ufcstats.com/fighter-details/7a613f78dd7ee8f8
8db1b36dde268ef6,Eric,Magana,,http://ufcstats.com/fighter-details/8db1b36dde268ef6
2015c944226ad2df,Brandon,Magana,,http://ufcstats.com/fighter-details/2015c944226ad2df
bd878a638e0e3be3,Angela,Magana,Your Majesty,http://ufcstats.com/fighter-details/bd878a638e0e3be3
84b3e7d38f2d2ec5,Neil,Magny,The Haitian Sensation,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5
d16373b3568678d4,Raimond,Magomedaliev,,http://ufcstats.com/fighter-details/d16373b3568678d4
e7e970d508529bf3,Ibragim,Magomedov,,http://ufcstats.com/fighter-details/e7e970d508529bf3
7ea1f74cef32f906,Rashid,Magomedov,Highlander,http://ufcstats.com/fighter-details/7ea1f74cef32f906
369e1ce458ef50a6,Ruslan,Magomedov,Leopard,http://ufcstats.com/fighter-details/369e1ce458ef50a6
36b8f265bcd1b7a4,Abus,Magomedov,,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4
06734ca9d88dec3a,Shara,Magomedov,Bullet,http://ufcstats.com/fighter-details/06734ca9d88dec3a
d436f5d55156a521,Murtazali,Magomedov,The Highlight,http://ufcstats.com/fighter-details/d436f5d55156a521
87aa9fb63d6b51a1,Zabit,Magomedsharipov,,http://ufcstats.com/fighter-details/87aa9fb63d6b51a1
1a7745388839e52b,John,Maguire,The One,http://ufcstats.com/fighter-details/1a7745388839e52b
fb0b6593cec84356,Lolohea,Mahe,,http://ufcstats.com/fighter-details/fb0b6593cec84356
118463dd8db16e7f,Michelle,Maher,,http://ufcstats.com/fighter-details/118463dd8db16e7f
8c1ca54b5089d199,,Maheshate,,http://ufcstats.com/fighter-details/8c1ca54b5089d199
ae58685caf8e4a0d,Bill,Mahood,The Butcher,http://ufcstats.com/fighter-details/ae58685caf8e4a0d
7a9c1bb08a743d7f,Klayton,Mai,,http://ufcstats.com/fighter-details/7a9c1bb08a743d7f
427b5953ac8e3a27,Demian,Maia,,http://ufcstats.com/fighter-details/427b5953ac8e3a27
8e1f36476ef02a6a,Jennifer,Maia,,http://ufcstats.com/fighter-details/8e1f36476ef02a6a
03b1b79b34eaf217,Nayara,Maia,Capita,http://ufcstats.com/fighter-details/03b1b79b34eaf217
b301292b1bc92bdb,Roshan,Mainam,The Indian Notorious,http://ufcstats.com/fighter-details/b301292b1bc92bdb
938ad489fb7a1f31,Levan,Makashvili,The Hornet,http://ufcstats.com/fighter-details/938ad489fb7a1f31
c21a036b4e012f1c,John,Makdessi,The Bull,http://ufcstats.com/fighter-details/c21a036b4e012f1c
275aca31f61ba28c,Islam,Makhachev,,http://ufcstats.com/fighter-details/275aca31f61ba28c
3d481aa374c954a1,Aliev,Makhmud,,http://ufcstats.com/fighter-details/3d481aa374c954a1
57ab4d7c0bc09a30,Zach,Makovsky,Fun Size,http://ufcstats.com/fighter-details/57ab4d7c0bc09a30
7f1bf0c255ec8756,Azat,Maksum,Qazaq,http://ufcstats.com/fighter-details/7f1bf0c255ec8756
110404b505fb562c,Jeremy,Malaterre,,http://ufcstats.com/fighter-details/110404b505fb562c
1fb80f46d3c105d9,Fabio,Maldonado,Caipira de Aco,http://ufcstats.com/fighter-details/1fb80f46d3c105d9
e5ce754b01f922be,Marvin,Maldonado,The Bulldog,http://ufcstats.com/fighter-details/e5ce754b01f922be
b60c980f79b87ce8,Bea,Malecki,,http://ufcstats.com/fighter-details/b60c980f79b87ce8
d38e8c6ae2dfc051,Nazareno,Malegarie,El Tigre,http://ufcstats.com/fighter-details/d38e8c6ae2dfc051
a314687f372b2cec,Carl,Malenko,,http://ufcstats.com/fighter-details/a314687f372b2cec
d4270315cbcf2569,Jacob,Malkoun,Mamba,http://ufcstats.com/fighter-details/d4270315cbcf2569
dd6103dd7127db1d,Mike,Malott,Proper,http://ufcstats.com/fighter-details/dd6103dd7127db1d
